"Story","Title","Result","Date","Stability","Duration (s)"
"Registro de usuario nuevo Alkomprar","Registro Usuario en Alkomprar","ERROR","2023-07-01T17:46:52.96519-05:00[America/Bogota]","0.0","4.85"
"Registro de usuario nuevo Alkomprar","Registro Usuario en Alkomprar","ERROR","2023-07-01T20:12:07.087453-05:00[America/Bogota]","0.0","45.8"
